movieId	type
tt7416810	Romance
tt7614578	\N
tt5867722	Drama
tt5867722	Romance
tt8739934	Reality-TV
tt2510226	News
tt4521096	Drama
tt4521096	Mystery
tt4521096	Romance
tt4289798	Animation
tt4289798	Comedy
tt4289798	Fantasy
tt5535266	Action
tt5535266	Comedy
tt5535266	Drama
tt1038718	Comedy
tt0457661	Drama
tt2549480	Documentary
tt2549480	Talk-Show
tt7854318	Documentary
tt0518009	Crime
tt0518009	Drama
tt0645580	Drama
tt8382484	News
tt8382484	Talk-Show
tt8700654	\N
tt2003478	News
tt2281257	Action
tt6488324	Romance
tt0262607	Documentary
tt4087074	Game-Show
tt4087074	Music
tt4087074	Reality-TV
tt0409225	Drama
tt0409225	Short
tt2368515	\N
tt1532426	Animation
tt6246564	News
tt4497408	Adventure
tt4497408	Mystery
tt4497408	Reality-TV
tt1140020	Reality-TV
tt6986638	Crime
tt6986638	Family
tt6986638	Short
tt3081012	Talk-Show
tt0454023	\N
tt2262800	Drama
tt6960242	Drama
tt6960242	Family
tt6960242	Romance
tt3431902	Talk-Show
tt3186530	Drama
tt3186530	Short
tt4777978	\N
tt6931732	Sport
tt3817710	Comedy
tt8016074	Comedy
tt8016074	Romance
tt4591464	Documentary
tt1560224	Drama
tt6892062	Comedy
tt6892062	Horror
tt6892062	Mystery
tt1553898	Fantasy
tt1553898	Horror
tt1553898	Short
tt3190056	News
tt3190056	Sport
tt6263278	Horror
tt6263278	Short
tt6263278	Thriller
tt4959752	Game-Show
tt4959752	Music
tt3850584	Reality-TV
tt1228232	Reality-TV
tt6783196	Sport
tt8355782	Drama
tt8355782	History
tt8355782	Short
tt3730248	Comedy
tt4327588	\N
tt7756312	Music
tt3113612	Drama
tt3228236	Thriller
tt3269210	Comedy
tt2887054	Talk-Show
tt9209628	Comedy
tt9209628	Talk-Show
tt4467712	Drama
tt4467712	Romance
tt1857427	Drama
tt1879714	News
tt1879714	Talk-Show
tt8882188	\N
tt6567428	Comedy
tt6567428	Drama
tt3875410	Reality-TV
tt1081125	Documentary
tt1516912	Animation
tt1516912	Comedy
tt1516912	Family
tt7778940	Fantasy
tt1805910	Comedy
tt1805910	Family
tt2690480	Animation
tt2690480	News
tt6019010	Adult
tt3245538	\N
tt1678745	Drama
tt1678745	Romance
tt3041898	News
tt3756056	Comedy
tt3756056	Drama
tt3756056	Romance
tt7503392	Documentary
tt7503392	History
tt8118518	Comedy
tt8118518	Short
tt1089319	Crime
tt2416234	Comedy
tt6218688	Animation
tt6218688	Romance
tt7680448	Comedy
tt7680448	Talk-Show
