tconst	averageRating	numVotes
tt0123092	7.1	3285
tt0123192	7.3	96
tt0123527	5.1	17
tt0123787	3.9	14
tt0123814	5.9	52
tt0124043	6.3	16
tt0124091	7.2	12
tt0124112	7.1	21
tt0124130	6.6	89
tt0124345	6.8	9
tt0124393	6.8	17
tt0124573	4.9	29
tt0124708	6.7	29
tt0124946	4.2	101
tt0125042	5.8	10
tt0125125	5.9	14
tt0125270	6.0	25
tt0125351	6.8	9
tt0125594	5.4	88
tt0125816	7.2	5
tt0125855	7.1	50
tt0126102	6.1	12
tt0126112	6.1	8
tt0126325	6.1	70
tt0126436	7.0	6
tt0126506	3.6	17
tt0126695	6.0	36
tt0126968	7.2	251
tt0127131	3.6	5
tt0127187	6.8	56
tt0127192	7.5	10
tt0127215	6.8	6
tt0127361	5.8	294
tt0128027	5.6	74
tt0128276	2.9	9
tt0128279	6.2	43
tt0128507	6.4	12
tt0128874	7.6	8
tt0129251	7.6	494
tt0129678	6.7	10
tt0129687	6.5	57
tt0129713	8.7	34
tt0129840	6.8	23
tt0129866	5.9	146
tt0130142	4.8	661
tt0130186	6.7	231
tt0130675	6.8	192
tt0130795	7.5	23
tt0131096	6.2	289
tt0131270	5.3	11
tt0132540	6.9	66
tt0133227	5.9	29
tt0133286	6.1	38
tt0133467	4.6	15
tt0133714	5.1	14
tt0133889	5.3	21
tt0134676	6.4	7
tt0134738	5.2	8
tt0134920	7.3	21
tt0134956	5.9	15
tt0135102	8.0	10
tt0135757	6.6	133
tt0136291	7.4	8
tt0136517	4.1	67
tt0136684	5.9	13
tt0136708	6.9	53
tt0137195	6.0	242
tt0137294	7.7	100
tt0137643	5.9	15
tt0137682	6.1	18
tt0138016	7.7	28
tt0139160	4.8	102
tt0139214	4.2	5
tt0139677	5.1	27
tt0139688	7.0	7
tt0139773	8.1	43
tt0139774	6.9	20008
tt0139817	4.4	7
tt0140385	3.3	43
tt0140578	5.7	110
tt0140641	8.3	23
tt0140673	6.6	426
tt0140723	7.2	24
tt0140948	6.8	5
tt0141570	4.8	43
tt0141736	7.6	49
tt0141871	6.1	80
tt0142157	6.6	45
tt0142374	6.2	5
tt0142452	6.2	8
